Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U3,SN74LVC573A,TSSOP-20_4.4x6.5mm_P0.65mm,8.86206,31.90748,0,top
U4,SN74LVC573A,TSSOP-20_4.4x6.5mm_P0.65mm,8.9154,15.03172,0,top
U5,SN74LVC573A,TSSOP-20_4.4x6.5mm_P0.65mm,27.92476,20.03298,180,top
U7,SN74LVC573A,TSSOP-20_4.4x6.5mm_P0.65mm,27.92476,40.45204,180,top
