Ref,Val,Package,PosX,PosY,Rot,Side
"U2","74LS245","SSOP-20_5.3x7.2mm_P0.65mm",10.972800,7.035800,0.000000,top
"U4","74LS245","SSOP-20_5.3x7.2mm_P0.65mm",11.023600,18.669000,0.000000,top
"U5","74LS245","SSOP-20_5.3x7.2mm_P0.65mm",10.896600,31.267400,0.000000,top
