Ref,Val,Package,PosX,PosY,Rot,Side
"U3","74LS573","SSOP-20_5.3x7.2mm_P0.65mm",28.727400,17.749520,180.000000,bottom
"U4","74LS573","SSOP-20_5.3x7.2mm_P0.65mm",10.287000,23.136860,180.000000,bottom
