Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"U1","SN74LVC245A","TSSOP-20_4.4x6.5mm_P0.65mm",175.260000,-116.332000,180.000000,top
"U3","SN74LVC245A","TSSOP-20_4.4x6.5mm_P0.65mm",175.260000,-106.934000,0.000000,top
"U4","SN74LVC245A","TSSOP-20_4.4x6.5mm_P0.65mm",160.020000,-107.696000,0.000000,top
"U5","SN74LVC245A","TSSOP-20_4.4x6.5mm_P0.65mm",160.020000,-126.492000,0.000000,top
"U6","SN74LVC245A","TSSOP-20_4.4x6.5mm_P0.65mm",175.006000,-89.154000,-90.000000,top
